,recipe_id,recipe_name,image_url,ingredients,cooking_directions,nutritions
0,6664,"Basil, Roasted Peppers and Monterey Jack Cornbread",http://images.media-allrecipes.com/userphotos/720x405/582853.jpg,"['unsalted butter', 'chopped onion', 'cornmeal', 'all-purpose flour', 'white sugar', 'baking powder', 'salt', 'baking soda', 'buttermilk', 'eggs', 'shredded pepperjack cheese', 'frozen corn kernels', 'roasted marinated red bell peppers', 'chopped fresh basil']","[""'Prep"", '25 m', 'Cook', '55 m', 'Ready In', '1 h 40 m', 'Preheat oven to 400 degrees F (205 degrees C). Butter a 9x9x2 inch baking pan.', 'Melt 1 tablespoon butter in medium nonstick skillet over medium-low heat. Add onion and saute until tender, about 10 minutes. Cool.', 'Mix cornmeal with the flour, baking powder, sugar, salt, and baking soda in large bowl. Add 7 tablespoons butter and rub with fingertips until mixture resembles coarse meal.', 'Whisk buttermilk and eggs in medium bowl to blend. Add buttermilk mixture to dry ingredients and stir until blended. Mix in cheese, corn, red peppers, basil, and onion. Transfer to prepared pan.', ""Bake cornbread until golden and tester inserted comes out clean, about 45 minutes. Cool 20 minutes in pan. Cut cornbread into squares.'""]","{'sugars': {'hasCompleteData': True, 'name': 'Sugars', 'amount': 7.16969, 'percentDailyValue': '0', 'displayValue': '7.2', 'unit': 'g'}, 'sodium': {'hasCompleteData': True, 'name': 'Sodium', 'amount': 623.7267, 'percentDailyValue': '25', 'displayValue': '624', 'unit': 'mg'}, 'carbohydrates': {'hasCompleteData': True, 'name': 'Carbohydrates', 'amount': 35.49886, 'percentDailyValue': '11', 'displayValue': '35.5', 'unit': 'g'}, 'calories': {'hasCompleteData': True, 'name': 'Calories', 'amount': 313.8263, 'percentDailyValue': '16', 'displayValue': '314', 'unit': 'kcal'}, 'fat': {'hasCompleteData': True, 'name': 'Fat', 'amount': 15.42691, 'percentDailyValue': '24', 'displayValue': '15.4', 'unit': 'g'}, 'fiber': {'hasCompleteData': True, 'name': 'Dietary Fiber', 'amount': 2.394961, 'percentDailyValue': '10', 'displayValue': '2.4', 'unit': 'g'}, 'protein': {'hasCompleteData': True, 'name': 'Protein', 'amount': 9.789059, 'percentDailyValue': '20', 'displayValue': '9.8', 'unit': 'g'}}"
1,6665,Mom's Yeast Rolls,http://images.media-allrecipes.com/userphotos/250x250/5461.jpg,"['hot water', 'margarine', 'white sugar', 'salt', 'cold water', 'active dry yeast', 'all-purpose flour', 'eggs']","[""'Melt margarine in hot water. Add sugar and salt and stir. Add cold water and yeast. Stir to dissolve yeast."", 'Add 3 cups flour and mix. Add eggs and 2 1/2 - 3 cups more flour. Mix, cover and let rise until dough doubles in size.', 'Punch down and let rise 30 more minutes or until doubles.', ""Make walnut size balls of dough. Place about 2 inches apart in well-buttered 9 x 13 inch pan. Bake in a preheated 350 degrees F (175 degrees C) oven for 30-45 minutes. Brush top of rolls with margarine while hot.'""]","{'sugars': {'hasCompleteData': True, 'name': 'Sugars', 'amount': 1.95101, 'percentDailyValue': '0', 'displayValue': '2', 'unit': 'g'}, 'sodium': {'hasCompleteData': True, 'name': 'Sodium', 'amount': 163.3568, 'percentDailyValue': '7', 'displayValue': '163', 'unit': 'mg'}, 'carbohydrates': {'hasCompleteData': True, 'name': 'Carbohydrates', 'amount': 16.62239, 'percentDailyValue': '5', 'displayValue': '16.6', 'unit': 'g'}, 'calories': {'hasCompleteData': True, 'name': 'Calories', 'amount': 104.0672, 'percentDailyValue': '5', 'displayValue': '104', 'unit': 'kcal'}, 'fat': {'hasCompleteData': True, 'name': 'Fat', 'amount': 2.974216, 'percentDailyValue': '5', 'displayValue': '3', 'unit': 'g'}, 'fiber': {'hasCompleteData': True, 'name': 'Dietary Fiber', 'amount': 0.5972916, 'percentDailyValue': '2', 'displayValue': '0.6', 'unit': 'g'}, 'protein': {'hasCompleteData': True, 'name': 'Protein', 'amount': 2.499005, 'percentDailyValue': '5', 'displayValue': '2.5', 'unit': 'g'}}"
2,6666,Sweet Potato Bread I,https://images.media-allrecipes.com/userphotos/250x250/394676.jpg,"['white sugar', 'vegetable oil', 'eggs', 'sifted all-purpose flour', 'baking soda', 'salt', 'ground cinnamon', 'ground nutmeg', 'water', 'cooked and mashed sweet potatoes', 'chopped pecans']","[""'Combine sugar and oil; beat well. Add eggs and beat. Combine flour, baking soda, salt, cinnamon and nutmeg. Stir flour mixture into egg mixture alternately with water. Stir in sweet potatoes and chopped nuts."", ""Pour batter into greased 9x5 inch loaf pan (or 2 small loaf pans). Bake at 350 degrees F (175 degrees C) for about one hour.'""]","{'sugars': {'hasCompleteData': False, 'name': 'Sugars', 'amount': 26.38888, 'percentDailyValue': '0', 'displayValue': '26.4', 'unit': 'g'}, 'sodium': {'hasCompleteData': False, 'name': 'Sodium', 'amount': 171.3883, 'percentDailyValue': '7', 'displayValue': '171', 'unit': 'mg'}, 'carbohydrates': {'hasCompleteData': False, 'name': 'Carbohydrates', 'amount': 43.18983, 'percentDailyValue': '14', 'displayValue': '43.2', 'unit': 'g'}, 'calories': {'hasCompleteData': False, 'name': 'Calories', 'amount': 303.33, 'percentDailyValue': '15', 'displayValue': '303', 'unit': 'kcal'}, 'fat': {'hasCompleteData': False, 'name': 'Fat', 'amount': 13.51386, 'percentDailyValue': '21', 'displayValue': '13.5', 'unit': 'g'}, 'fiber': {'hasCompleteData': False, 'name': 'Dietary Fiber', 'amount': 1.555075, 'percentDailyValue': '6', 'displayValue': '1.6', 'unit': 'g'}, 'protein': {'hasCompleteData': False, 'name': 'Protein', 'amount': 3.694001, 'percentDailyValue': '7', 'displayValue': '3.7', 'unit': 'g'}}"
3,6667,Cornish Splits,https://images.media-allrecipes.com/userphotos/250x250/65448.jpg,"['active dry yeast', 'lukewarm milk', 'white sugar', 'unbleached all-purpose flour', 'salt', 'butter']","[""'In a small bowl, dissolve the yeast in the milk and add the sugar. In another bowl, sift the flour and salt together and add the cooled melted butter."", 'Add the yeast mixture to the flour mixture, and turn out onto a floured counter and knead until the dough is smooth and elastic. Place the dough in an oiled bowl, cover with a clean towel and let rise in a warm, draft free place to 45 minutes.', 'Turn dough out onto the freshly floured board and shape into 9 balls. Place dough balls into a buttered and floured 9 inch square pan. Let them sit, covered for another 15 minutes to rise again. Preheat the oven to 425 degrees F (220 degrees C).', ""Bake for 15-20 minutes until browned and puffed. Split open and serve warm.'""]","{'sugars': {'hasCompleteData': False, 'name': 'Sugars', 'amount': 2.975532, 'percentDailyValue': '0', 'displayValue': '3', 'unit': 'g'}, 'sodium': {'hasCompleteData': True, 'name': 'Sodium', 'amount': 97.72266, 'percentDailyValue': '4', 'displayValue': '98', 'unit': 'mg'}, 'carbohydrates': {'hasCompleteData': True, 'name': 'Carbohydrates', 'amount': 34.94212, 'percentDailyValue': '11', 'displayValue': '34.9', 'unit': 'g'}, 'calories': {'hasCompleteData': True, 'name': 'Calories', 'amount': 197.9225, 'percentDailyValue': '10', 'displayValue': '198', 'unit': 'kcal'}, 'fat': {'hasCompleteData': True, 'name': 'Fat', 'amount': 3.65586, 'percentDailyValue': '6', 'displayValue': '3.7', 'unit': 'g'}, 'fiber': {'hasCompleteData': True, 'name': 'Dietary Fiber', 'amount': 1.218333, 'percentDailyValue': '5', 'displayValue': '1.2', 'unit': 'g'}, 'protein': {'hasCompleteData': True, 'name': 'Protein', 'amount': 5.619544, 'percentDailyValue': '11', 'displayValue': '5.6', 'unit': 'g'}}"
4,6668,Orange Buns,http://images.media-allrecipes.com/userphotos/720x405/4499841.jpg,"['butter', 'white sugar', 'hot milk', 'active dry yeast', 'bread flour divided', 'white sugar', 'eggs', 'orange juice', 'orange zest', 'salt']","['\'directions\': u""Prep', '45 m', 'Cook', '20 m', 'Ready In', '2 h 50 m', 'Stir butter and 1 teaspoon sugar into the hot milk until butter is melted. When mixture is lukewarm, stir in yeast and set aside for 5 minutes.', 'When mixture is creamy, transfer to a large mixing bowl. Mix in 2 cups of bread flour. Add 1/2 cup sugar, eggs, orange juice, orange zest, and salt and beat until combined. Add remaining flour, mixing well after each addition, until it pulls away from the sides of the bowl.', 'Knead for about 10 minutes. Transfer dough to a greased bowl, cover with plastic wrap, and let rise until doubled, about 1 hour. If time permits, you can punch dough down, cover it, and let it rise again.', 'Transfer dough to a lightly floured work surface. Cut dough into 3 balls, cover with plastic wrap, and let rest for 10 minutes.', 'Preheat oven to 375 degrees F (190 degrees C). Lightly grease two baking sheets or line with parchment paper.', 'Shape each piece of dough into braided loaves or buns; place on baking sheets. Let rise until doubled, about 30 minutes.', 'Bake until rolls or loaves are golden brown, 10 to 12 minutes for individual buns, about 20 minutes for braids. Frost rolls, if desired (see Cook\'s Note) or sprinkle with confectioners\' sugar.""']","{'sugars': {'hasCompleteData': False, 'name': 'Sugars', 'amount': 4.655879, 'percentDailyValue': '0', 'displayValue': '4.7', 'unit': 'g'}, 'sodium': {'hasCompleteData': True, 'name': 'Sodium', 'amount': 97.44999, 'percentDailyValue': '4', 'displayValue': '97', 'unit': 'mg'}, 'carbohydrates': {'hasCompleteData': True, 'name': 'Carbohydrates', 'amount': 24.96752, 'percentDailyValue': '8', 'displayValue': '25', 'unit': 'g'}, 'calories': {'hasCompleteData': True, 'name': 'Calories', 'amount': 141.0221, 'percentDailyValue': '7', 'displayValue': '141', 'unit': 'kcal'}, 'fat': {'hasCompleteData': True, 'name': 'Fat', 'amount': 2.534464, 'percentDailyValue': '4', 'displayValue': '2.5', 'unit': 'g'}, 'fiber': {'hasCompleteData': True, 'name': 'Dietary Fiber', 'amount': 0.8633333, 'percentDailyValue': '3', 'displayValue': '0.9', 'unit': 'g'}, 'protein': {'hasCompleteData': True, 'name': 'Protein', 'amount': 4.353599, 'percentDailyValue': '9', 'displayValue': '4.4', 'unit': 'g'}}"
5,6669,Jalapeno Cheese Bread,http://images.media-allrecipes.com/userphotos/720x405/607083.jpg,"['all-purpose flour', 'shredded Cheddar cheese', 'minced jalapeno peppers', 'white sugar', 'salt', 'hot water', 'active dry yeast', 'vegetable oil']","[""'In a very large bowl, combine 7 cups of flour, cheese, jalapenos, 7 tablespoons sugar and the salt; mix well."", 'In a separate bowl, combine the water, yeast and remaining 1 tablespoon sugar. Let sit about 10 minutes; stir until all yeast is dissolved.', 'Add the oil to the liquid mixture, stirring . Add half of the liquid mixture to the flour mixture. Mix with hands to moisten flour as much as possible. Add remaining liquid mixture to dough and mix until flour is thoroughly incorporated.', 'Turn onto a lightly floured surface and knead by hand until smooth and elastic to the touch, about 15 minutes, gradually adding only enough additional flour to keep dough from sticking.', 'Place in a large greased bowl and invert dough so top is greased; cover with a dry towel and let stand in a warm place (90 - 100F) until doubled in size, about 1 hour. Punch down dough.', 'To Make Bread: Divide dough into 3 equal portions. Form each into a ball, then stretch out dough with both hands and tuck edges under to form a smooth surface. Pop any large air bubbles by pinching them. Form into loaves. (Note: I like to use a rolling pin and roll out dough, which pops all bubbles easily and quickly.) Place in 3 greased 8 1/2 x 4 1/2 inch loaf pans. Cover with towel again and allow to rise until almost doubled in size, about 45 minutes to 1 hour.', ""Bake at 325 degrees F (165 degrees C) until dark brown and done, about 1 hour, rotating the pans after 25 minutes for more even browning. Remove from pan as soon as bread will easily lift out, after about 5 to 10 minutes. Let cool about 1 hour before slicing.'""]","{'sugars': {'hasCompleteData': False, 'name': 'Sugars', 'amount': 3.572053, 'percentDailyValue': '0', 'displayValue': '3.6', 'unit': 'g'}, 'sodium': {'hasCompleteData': False, 'name': 'Sodium', 'amount': 210.8772, 'percentDailyValue': '8', 'displayValue': '211', 'unit': 'mg'}, 'carbohydrates': {'hasCompleteData': False, 'name': 'Carbohydrates', 'amount': 29.36234, 'percentDailyValue': '9', 'displayValue': '29.4', 'unit': 'g'}, 'calories': {'hasCompleteData': False, 'name': 'Calories', 'amount': 213.8987, 'percentDailyValue': '11', 'displayValue': '214', 'unit': 'kcal'}, 'fat': {'hasCompleteData': False, 'name': 'Fat', 'amount': 7.199244, 'percentDailyValue': '11', 'displayValue': '7.2', 'unit': 'g'}, 'fiber': {'hasCompleteData': False, 'name': 'Dietary Fiber', 'amount': 1.106377, 'percentDailyValue': '4', 'displayValue': '1.1', 'unit': 'g'}, 'protein': {'hasCompleteData': False, 'name': 'Protein', 'amount': 7.493408, 'percentDailyValue': '15', 'displayValue': '7.5', 'unit': 'g'}}"
6,6670,Dee's Health Bread,https://images.media-allrecipes.com/userphotos/250x250/111116.jpg,"['active dry yeast', 'white sugar', 'warm water', 'warm water', 'honey', 'molasses', 'vegetable oil', 'eggs', 'lemon juice', 'wheat flour', 'flax seed', 'cracked wheat', 'sunflower seeds', 'salt', 'bread flour']","[""'In a small bowl, dissolve the yeast and sugar in 1/2 cup warm water. In a large bowl, mix remaining 3 1/2 cups warm water, honey, molasses, oil, eggs and lemon juice. Mix well. Add yeast mixture and stir."", 'Gradually add 5 cups whole wheat flour beating well after each addition. Add the flax, cracked wheat and sunflower seeds, stir well.', 'Let stand for 20 minutes, until mixture is very light. Stir in salt and the rest of the flours until dough pulls away from the sides of the bowl.', 'Knead 10 to 15 minutes until dough is smooth and elastic. Put into a greased bowl and cover, let rise in the oven with light on until doubled, about 1 hour.', 'Punch down and shape into 6 round balls. Cover and let rest for 20 minutes.', ""Form into loaves and let rise covered in oven until doubled. Bake at 375 degrees F (190 degrees C) 25-35 minutes.'""]","{'sugars': {'hasCompleteData': False, 'name': 'Sugars', 'amount': 1.7569, 'percentDailyValue': '0', 'displayValue': '1.8', 'unit': 'g'}, 'sodium': {'hasCompleteData': False, 'name': 'Sodium', 'amount': 132.5335, 'percentDailyValue': '5', 'displayValue': '133', 'unit': 'mg'}, 'carbohydrates': {'hasCompleteData': False, 'name': 'Carbohydrates', 'amount': 16.55509, 'percentDailyValue': '5', 'displayValue': '16.6', 'unit': 'g'}, 'calories': {'hasCompleteData': False, 'name': 'Calories', 'amount': 94.01342, 'percentDailyValue': '5', 'displayValue': '94', 'unit': 'kcal'}, 'fat': {'hasCompleteData': False, 'name': 'Fat', 'amount': 2.204889, 'percentDailyValue': '3', 'displayValue': '2.2', 'unit': 'g'}, 'fiber': {'hasCompleteData': False, 'name': 'Dietary Fiber', 'amount': 1.940828, 'percentDailyValue': '8', 'displayValue': '1.9', 'unit': 'g'}, 'protein': {'hasCompleteData': False, 'name': 'Protein', 'amount': 3.009185, 'percentDailyValue': '6', 'displayValue': '3', 'unit': 'g'}}"
7,6671,Oatmeal Bread I,http://images.media-allrecipes.com/userphotos/250x250/823523.jpg,"['rolled oats', 'molasses', 'vegetable oil', 'salt', 'boiling water', 'active dry yeast', 'lukewarm water (100 degrees F/38 degrees C)', 'wheat flour', 'bread flour', 'eggs']","[""'Prep"", '45 m', 'Cook', '30 m', 'Ready In', '1 d 2 h 45 m', 'Combine oats, molasses, oil, salt and boiling water. Let cool to about 105 degrees F.', 'Dissolve the yeast in the warm water and let stand for 5 minutes or until creamy. Stir the yeast into oat mixture and mix well. Add whole wheat flour, 2 cups bread flour, and the eggs. Mix until well combined.', 'Stir in enough of the remaining flour to make a soft dough. Turn dough out to a floured counter and knead for about 10 minutes. Place the dough in a well-greased bowl and cover with greased plastic wrap. Let the dough rest in the refrigerator overnight.', 'Preheat oven to 375 degrees F (190 degrees C). Grease 3 regular loaf pans and 4 mini loaf pans.', ""Transfer the dough onto a floured surface and divide it into 4 pieces. Shape the dough into loaves and place them in the pans, seam-side down. Let rise until doubled, about 90 minutes. Bake in the preheated oven until the loaves are golden brown and sound hollow when tapped, about 30 minutes.'""]","{'sugars': {'hasCompleteData': True, 'name': 'Sugars', 'amount': 3.173033, 'percentDailyValue': '0', 'displayValue': '3.2', 'unit': 'g'}, 'sodium': {'hasCompleteData': True, 'name': 'Sodium', 'amount': 85.89799, 'percentDailyValue': '3', 'displayValue': '86', 'unit': 'mg'}, 'carbohydrates': {'hasCompleteData': True, 'name': 'Carbohydrates', 'amount': 25.70822, 'percentDailyValue': '8', 'displayValue': '25.7', 'unit': 'g'}, 'calories': {'hasCompleteData': True, 'name': 'Calories', 'amount': 150.8102, 'percentDailyValue': '8', 'displayValue': '151', 'unit': 'kcal'}, 'fat': {'hasCompleteData': True, 'name': 'Fat', 'amount': 3.447918, 'percentDailyValue': '5', 'displayValue': '3.4', 'unit': 'g'}, 'fiber': {'hasCompleteData': True, 'name': 'Dietary Fiber', 'amount': 1.4767, 'percentDailyValue': '6', 'displayValue': '1.5', 'unit': 'g'}, 'protein': {'hasCompleteData': True, 'name': 'Protein', 'amount': 4.364216, 'percentDailyValue': '9', 'displayValue': '4.4', 'unit': 'g'}}"
8,6672,Strawberry Bread I,http://images.media-allrecipes.com/userphotos/250x250/347834.jpg,"['all-purpose flour', 'white sugar', 'ground cinnamon', 'salt', 'baking soda', 'eggs', 'vegetable oil', 'chopped pecans', 'frozen strawberries thawed']","[""'Grease and flour a 9 x 5 inch pan well. Preheat oven to 350 degrees F (175 degrees C)."", 'In a large mixing bowl, sift together sugar, flour, cinnamon, salt, and baking soda.', 'In a smaller bowl, beat the eggs and oil. Stir in pecans and strawberries. Add egg mixture to the sifted ingredients, and stir until just combined.', ""Bake for 1 hour, or until tester inserted in the center comes out clean.'""]","{'sugars': {'hasCompleteData': True, 'name': 'Sugars', 'amount': 38.28518, 'percentDailyValue': '0', 'displayValue': '38.3', 'unit': 'g'}, 'sodium': {'hasCompleteData': True, 'name': 'Sodium', 'amount': 322.8842, 'percentDailyValue': '13', 'displayValue': '323', 'unit': 'mg'}, 'carbohydrates': {'hasCompleteData': True, 'name': 'Carbohydrates', 'amount': 63.68529, 'percentDailyValue': '21', 'displayValue': '63.7', 'unit': 'g'}, 'calories': {'hasCompleteData': True, 'name': 'Calories', 'amount': 550.8659, 'percentDailyValue': '28', 'displayValue': '551', 'unit': 'kcal'}, 'fat': {'hasCompleteData': True, 'name': 'Fat', 'amount': 31.45237, 'percentDailyValue': '48', 'displayValue': '31.5', 'unit': 'g'}, 'fiber': {'hasCompleteData': True, 'name': 'Dietary Fiber', 'amount': 2.267192, 'percentDailyValue': '9', 'displayValue': '2.3', 'unit': 'g'}, 'protein': {'hasCompleteData': True, 'name': 'Protein', 'amount': 6.288448, 'percentDailyValue': '13', 'displayValue': '6.3', 'unit': 'g'}}"
9,6673,Sun Dried Tomato and Asiago Cheese Bread,http://images.media-allrecipes.com/userphotos/250x250/3010.jpg,"['water', 'extra virgin olive oil', 'lemon juice', 'white sugar', 'instant powdered milk', 'salt', 'bread flour', 'amaranth flour', 'chopped sun-dried tomatoes', 'grated Asiago cheese', 'dried basil (optional)', 'freshly ground black pepper', 'active dry yeast']","[""'Place all ingredients into bread machine in order given."", ""Bake according to bread machine directions for regular bake.'""]","{'sugars': {'hasCompleteData': True, 'name': 'Sugars', 'amount': 2.953979, 'percentDailyValue': '0', 'displayValue': '3', 'unit': 'g'}, 'sodium': {'hasCompleteData': True, 'name': 'Sodium', 'amount': 238.5189, 'percentDailyValue': '10', 'displayValue': '239', 'unit': 'mg'}, 'carbohydrates': {'hasCompleteData': True, 'name': 'Carbohydrates', 'amount': 27.11847, 'percentDailyValue': '9', 'displayValue': '27.1', 'unit': 'g'}, 'calories': {'hasCompleteData': True, 'name': 'Calories', 'amount': 165.1394, 'percentDailyValue': '8', 'displayValue': '165', 'unit': 'kcal'}, 'fat': {'hasCompleteData': True, 'name': 'Fat', 'amount': 3.828383, 'percentDailyValue': '6', 'displayValue': '3.8', 'unit': 'g'}, 'fiber': {'hasCompleteData': True, 'name': 'Dietary Fiber', 'amount': 1.230331, 'percentDailyValue': '5', 'displayValue': '1.2', 'unit': 'g'}, 'protein': {'hasCompleteData': True, 'name': 'Protein', 'amount': 5.147072, 'percentDailyValue': '10', 'displayValue': '5.1', 'unit': 'g'}}"
